industry_code,industry_name,indivs,pacs,total,last_updated,cycle
A01,Crop Production & Basic Processing,105045,59600,164645,03/20/2023,2022
W06,Retired,85525,0,85525,03/20/2023,2022
F07,Securities & Investment,64313,0,64313,03/20/2023,2022
N07,Casinos/Gambling,57942,0,57942,03/20/2023,2022
F10,Real Estate,49896,2000,51896,03/20/2023,2022
Q03,Leadership PACs,0,38000,38000,03/20/2023,2022
W02,Non-Profit Institutions,32927,0,32927,03/20/2023,2022
A07,Agricultural Services/Products,5750,20900,26650,03/20/2023,2022
A06,Livestock,17100,2500,19600,03/20/2023,2022
M02,Automotive,0,19495,19495,03/20/2023,2022
