industry_code,industry_name,indivs,pacs,total,last_updated,cycle
Q03,Leadership PACs,0,66400,66400,03/20/2023,2022
Q01,Republican/Conservative,46860,12250,59110,03/20/2023,2022
A01,Crop Production & Basic Processing,17400,32000,49400,03/20/2023,2022
W06,Retired,47450,0,47450,03/20/2023,2022
E01,Oil & Gas,28000,18500,46500,03/20/2023,2022
H03,Health Services/HMOs,23675,7500,31175,03/20/2023,2022
H01,Health Professionals,27765,0,27765,03/20/2023,2022
F10,Real Estate,16725,9000,25725,03/20/2023,2022
C01,General Contractors,18515,2500,21015,03/20/2023,2022
M05,Sea Transport,12700,7050,19750,03/20/2023,2022
