industry_code,industry_name,indivs,pacs,total,last_updated,cycle
W06,Retired,295467,0,295467,03/20/2023,2022
K01,Lawyers/Law Firms,246528,12500,259028,03/20/2023,2022
H01,Health Professionals,95595,37750,133345,03/20/2023,2022
F10,Real Estate,95024,17500,112524,03/20/2023,2022
N02,"Beer, Wine & Liquor",53550,37500,91050,03/20/2023,2022
Q02,Democratic/Liberal,37716,36500,74216,03/20/2023,2022
P01,Building Trade Unions,0,70000,70000,03/20/2023,2022
K02,Lobbyists,67300,0,67300,03/20/2023,2022
N05,Business Services,64511,0,64511,03/20/2023,2022
Q03,Leadership PACs,0,63500,63500,03/20/2023,2022
