industry_code,industry_name,indivs,pacs,total,last_updated,cycle
F09,Insurance,3475,73000,76475,06/10/2019,2018
F03,Commercial Banks,10000,60500,70500,06/10/2019,2018
F10,Real Estate,12774,21000,33774,06/10/2019,2018
F06,Finance/Credit Companies,1750,32000,33750,06/10/2019,2018
F07,Securities & Investment,3000,30500,33500,06/10/2019,2018
F11,Accountants,0,32500,32500,06/10/2019,2018
Q03,Leadership PACs,0,31000,31000,06/10/2019,2018
N02,"Beer, Wine & Liquor",13800,15000,28800,06/10/2019,2018
M01,Air Transport,2200,22000,24200,06/10/2019,2018
E01,Oil & Gas,1000,23000,24000,06/10/2019,2018
