industry_code,industry_name,indivs,pacs,total,last_updated,cycle
Q03,Leadership PACs,0,132400,132400,03/20/2023,2022
F07,Securities & Investment,103785,7500,111285,03/20/2023,2022
F09,Insurance,11400,56500,67900,03/20/2023,2022
F10,Real Estate,36197,21000,57197,03/20/2023,2022
W06,Retired,56546,0,56546,03/20/2023,2022
K02,Lobbyists,54900,1000,55900,03/20/2023,2022
Q05,Pro-Israel,43025,-1500,41525,03/20/2023,2022
H01,Health Professionals,7350,32000,39350,03/20/2023,2022
C05,Building Materials & Equipment,6300,31500,37800,03/20/2023,2022
M01,Air Transport,1000,35500,36500,03/20/2023,2022
