industry_code,industry_name,indivs,pacs,total,last_updated,cycle
W06,Retired,555359,0,555359,06/10/2019,2018
K01,Lawyers/Law Firms,405645,38731,444376,06/10/2019,2018
Q02,Democratic/Liberal,222588,600,223188,06/10/2019,2018
F07,Securities & Investment,184151,26000,210151,06/10/2019,2018
F10,Real Estate,159676,46216,205892,06/10/2019,2018
Q03,Leadership PACs,4000,160000,164000,06/10/2019,2018
H01,Health Professionals,98589,49000,147589,06/10/2019,2018
F09,Insurance,38456,92700,131156,06/10/2019,2018
Q05,Pro-Israel,117060,8500,125560,06/10/2019,2018
W04,Education,113074,0,113074,06/10/2019,2018
