industry_code,industry_name,indivs,pacs,total,last_updated,cycle
Q01,Republican/Conservative,682597,46565,729162,06/10/2019,2018
F07,Securities & Investment,485946,16000,501946,06/10/2019,2018
K01,Lawyers/Law Firms,299816,76750,376566,06/10/2019,2018
W06,Retired,360023,0,360023,06/10/2019,2018
F10,Real Estate,315875,9000,324875,06/10/2019,2018
E01,Oil & Gas,225245,76500,301745,06/10/2019,2018
N15,Misc Manufacturing & Distributing,259200,20500,279700,06/10/2019,2018
F13,Misc Finance,214325,17300,231625,06/10/2019,2018
Q05,Pro-Israel,196600,34700,231300,06/10/2019,2018
K02,Lobbyists,175952,5500,181452,06/10/2019,2018
