industry_code,industry_name,indivs,pacs,total,last_updated,cycle
P03,Transportation Unions,0,44500,44500,06/10/2019,2018
P04,Public Sector Unions,0,34500,34500,06/10/2019,2018
F09,Insurance,50,32000,32050,06/10/2019,2018
P02,Industrial Unions,0,27000,27000,06/10/2019,2018
M05,Sea Transport,14800,10500,25300,06/10/2019,2018
P01,Building Trade Unions,0,22500,22500,06/10/2019,2018
M04,Railroads,500,20500,21000,06/10/2019,2018
F07,Securities & Investment,0,18500,18500,06/10/2019,2018
M01,Air Transport,15,13316,13331,06/10/2019,2018
B08,Telephone Utilities,0,11500,11500,06/10/2019,2018
