cand_name,cid,cycle,state,party,chamber,first_elected,next_election,total,spent,cash_on_hand,debt,origin,source,last_updated
"Jayapal, Pramila",N00038858,2022,WA,D,H,2016,2022,2727975.47,2141767.94,2369820.4,0,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00038858&cycle=2022,12/31/2022
"Lee, Laurel",N00051178,2022,,R,,,2022,1560992.79,1473752.5,87240.29,172500,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00051178&cycle=2022,12/31/2022
"Rutherford, John",N00039777,2022,FL,R,H,2016,2022,782952.63,644267.7,245622.17,0,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00039777&cycle=2022,12/31/2022
"Van Hollen, Chris",N00013820,2022,MD,D,S,2016,2022,8754939.37,7003856.54,2230123.95,2209.56,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00013820&cycle=2022,12/31/2022
"Feenstra, Randy",N00044011,2022,IA,R,H,2020,2022,2867511.14,1855768.73,1023688.68,0,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00044011&cycle=2022,12/31/2022
"Barrasso, John A",N00006236,2022,WY,R,S,2007,2024,8440629.61,6702518.63,4487576.49,0,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00006236&cycle=2022,12/31/2022
"Vance, J D",N00048832,2022,,R,,,2022,15233130.82,14791821.97,441308.85,1004488.38,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00048832&cycle=2022,12/31/2022
"Fletcher, Lizzie",N00041194,2022,TX,D,H,2018,2022,3624542.23,2363932.05,1321706.83,0,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00041194&cycle=2022,12/31/2022
"Omar, Ilhan",N00043581,2022,MN,D,H,2018,2022,3056048.82,3172102.4,51716.15,0,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00043581&cycle=2022,12/31/2022
"Nickel, Wiley",N00049133,2022,,D,,,2022,3603565.34,3621437.51,36999.17,953950,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00049133&cycle=2022,12/31/2022
"Curtis, John",N00041221,2022,UT,R,H,2017,2022,2134497.44,2098963.38,386839.23,0,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00041221&cycle=2022,12/31/2022
"Padilla, Alex",N00047888,2022,CA,D,S,2021,2022,11904343.14,4451116.48,7453226.66,0,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00047888&cycle=2022,12/31/2022
"Wagner, Ann",N00033106,2022,MO,R,H,2012,2022,4653227.31,3309190.74,1457479.49,0,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00033106&cycle=2022,12/31/2022
"Fischbach, Michelle",N00045251,2022,MN,R,H,2020,2022,1655766.47,1682711.27,11004.56,0,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00045251&cycle=2022,12/31/2022
"Wenstrup, Brad",N00033310,2022,OH,R,H,2012,2022,2068488.96,1651070.8,878664.52,0,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00033310&cycle=2022,12/31/2022
"Joyce, David P",N00035007,2022,OH,R,H,2012,2022,2581608.34,1418177.88,1829922.17,0,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00035007&cycle=2022,12/31/2022
"Sullivan, Dan",N00035774,2022,AK,R,S,2014,2026,10878493.13,10096460.25,904643.34,0,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00035774&cycle=2022,12/31/2022
"Crane, Eli",N00048953,2022,,R,,,2022,3669750.33,3603494.62,66255.71,0,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00048953&cycle=2022,12/31/2022
"Stanton, Greg",N00041750,2022,AZ,D,H,2018,2022,4307483.56,5317817.52,33341.89,0,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00041750&cycle=2022,12/31/2022
"Finstad, Brad",N00050649,2022,MN,R,H,2022,2022,1483520.45,1483255.92,264.53,0,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00050649&cycle=2022,12/31/2022
"Moore, Blake",N00046598,2022,UT,R,H,2020,2022,1588700.84,1151018.71,466044.11,130951.27,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00046598&cycle=2022,12/31/2022
"Rosen, Jacky",N00038734,2022,NV,D,S,2018,2024,33455280.93,29044467.67,4425230.43,15000,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00038734&cycle=2022,12/31/2022
"Steil, Bryan",N00043379,2022,WI,R,H,2018,2022,3591240.05,2455091.44,1511652.07,0,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00043379&cycle=2022,12/31/2022
"Timmons, William",N00042715,2022,SC,R,H,2018,2022,902342.26,899018.83,12013.85,332130.05,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00042715&cycle=2022,12/31/2022
"Collins, Mike",N00035370,2022,,R,,,2022,1064457.85,867386.22,197071.63,286941.43,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00035370&cycle=2022,12/31/2022
"Collins, Susan M",N00000491,2022,ME,R,S,1996,2026,30804358.04,30143392.38,1597417.85,0,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00000491&cycle=2022,12/31/2022
"Tlaib, Rashida",N00042649,2022,MI,D,H,2018,2022,3252710.37,3407138.48,237303.81,0,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00042649&cycle=2022,12/31/2022
"Kiley, Kevin",N00050259,2022,,R,,,2022,3190567.92,3151594.43,38973.49,68518.2,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00050259&cycle=2022,12/31/2022
"Grassley, Chuck",N00001758,2022,IA,R,S,1980,2022,10681892.04,11246622.89,441423.88,0,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00001758&cycle=2022,12/31/2022
"Stewart, Chris",N00033932,2022,UT,R,H,2012,2022,1080793.04,1060556.71,184930.52,0,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00033932&cycle=2022,12/31/2022
"Doggett, Lloyd",N00006023,2022,TX,D,H,1994,2022,1388876.62,1279770.53,5314581.29,0,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00006023&cycle=2022,12/31/2022
"Hoyle, Val",N00049734,2022,,D,,,2022,2594292.14,2554244.45,40047.69,63393.24,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00049734&cycle=2022,12/31/2022
"Womack, Steve",N00031857,2022,AR,R,H,2010,2022,1662618.78,1081560.59,1944314.89,0,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00031857&cycle=2022,12/31/2022
"Kelly, Trent",N00037003,2022,MS,R,H,2015,2022,1101327.81,1003910.19,325712.28,0,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00037003&cycle=2022,12/31/2022
"Higgins, Clay",N00039953,2022,LA,R,H,2016,2022,1036264.17,1080509.7,27517.17,0,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00039953&cycle=2022,12/31/2022
"Scalise, Steve",N00009660,2022,LA,R,H,2008,2022,18397996.89,19963517.12,4652199.45,0,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00009660&cycle=2022,12/31/2022
"Fallon, Patrick",N00047264,2022,TX,R,H,2020,2022,859595.34,764114.62,257589.49,25000,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00047264&cycle=2022,12/31/2022
"Krishnamoorthi, Raja",N00033240,2022,IL,D,H,2016,2022,8396848.1,5638025.58,11186669.45,0,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00033240&cycle=2022,12/31/2022
"Lee, Mike",N00031696,2022,UT,R,S,2010,2022,12297321.58,11688704.39,955824.1,0,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00031696&cycle=2022,12/31/2022
"Sarbanes, John",N00027751,2022,MD,D,H,2006,2022,186596,740237.9,483141.62,0,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00027751&cycle=2022,12/31/2022
"Moran, Jerry",N00005282,2022,KS,R,S,2010,2022,7499161.48,5312544.37,3378725.34,70438.16,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00005282&cycle=2022,12/31/2022
"Durbin, Dick",N00004981,2022,IL,D,S,1996,2026,10446747.84,9782183.59,1483740.86,0,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00004981&cycle=2022,12/31/2022
"Lesko, Debbie",N00042056,2022,AZ,R,H,2018,2022,1188962.74,874861,1002734.67,0,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00042056&cycle=2022,12/31/2022
"Soto, Darren",N00037422,2022,FL,D,H,2016,2022,1326127.67,1434247.52,64280.8,0,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00037422&cycle=2022,12/31/2022
