cand_name,cid,cycle,state,party,chamber,first_elected,next_election,total,spent,cash_on_hand,debt,origin,source,last_updated
"Baldwin, Tammy",N00004367,2022,WI,D,S,2012,2024,36468331.79,34520233.22,3038018.37,0,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00004367&cycle=2022,12/31/2022
"Mills, Cory",N00048179,2022,,R,,,2022,2614746.09,2588723.82,26022.27,2234112.5,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00048179&cycle=2022,12/31/2022
"Tiffany, Tom",N00045307,2022,WI,R,H,2020,2022,1176702.25,959751.43,339670.16,0,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00045307&cycle=2022,12/31/2022
"Strong, Dale",N00048145,2022,,R,,,2022,1973369.91,1954324.59,19045.32,240000,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00048145&cycle=2022,12/31/2022
"Swalwell, Eric",N00033508,2022,CA,D,H,2012,2022,3735659.15,3609987.92,628599.97,0,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00033508&cycle=2022,12/31/2022
"Marshall, Roger",N00037034,2022,KS,R,S,2020,2026,7323829.49,7422338.98,509776.37,97000,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00037034&cycle=2022,12/31/2022
"Trahan, Lori",N00041808,2022,MA,D,H,2018,2022,1956390.98,1374854.87,867499.45,0,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00041808&cycle=2022,12/31/2022
"Loudermilk, Barry",N00035347,2022,GA,R,H,2014,2022,786025.19,888767.63,270089.15,0,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00035347&cycle=2022,12/31/2022
"Kelly, Mike",N00031647,2022,PA,R,H,2010,2022,1293140.62,1352459.4,899205.92,95000,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00031647&cycle=2022,12/31/2022
"Miller, Mary",N00045703,2022,IL,R,H,2020,2022,2011403.39,1820117.82,309986.3,0,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00045703&cycle=2022,12/31/2022
"Smith, Adrian",N00027623,2022,NE,R,H,2006,2022,1699591.29,1930697.87,914536.05,0,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00027623&cycle=2022,12/31/2022
"Wild, Susan",N00041997,2022,PA,D,H,2018,2022,6906278.39,6931013.4,53961.35,0,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00041997&cycle=2022,12/31/2022
"Baird, Jim",N00041954,2022,IN,R,H,2018,2022,433647.53,299633.61,340742.15,170000,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00041954&cycle=2022,12/31/2022
"D'Esposito, Anthony",N00050681,2022,,R,,,2022,1297893.05,1275426.38,22466.67,0,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00050681&cycle=2022,12/31/2022
"Sessions, Pete",N00005681,2022,TX,R,H,1996,2022,842084.99,919960.5,88114.3,0,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00005681&cycle=2022,12/31/2022
"Rubio, Marco",N00030612,2022,FL,R,S,2010,2022,50321440.67,49996190.29,497453.21,0,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00030612&cycle=2022,12/31/2022
"Frankel, Lois",N00002893,2022,FL,D,H,2012,2022,1265332.56,1811796.74,645707.23,0,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00002893&cycle=2022,12/31/2022
"Blumenauer, Earl",N00007727,2022,OR,D,H,1996,2022,1359629.91,1345203.72,771770.99,0,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00007727&cycle=2022,12/31/2022
"Kamlager, Sydney",N00049460,2022,,D,,,2022,1208489.66,1106610.48,101879.18,10134.68,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00049460&cycle=2022,12/31/2022
"Torres, Ritchie",N00044346,2022,NY,D,H,2020,2022,4378605.95,881010.13,3890401.22,0,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00044346&cycle=2022,12/31/2022
"Tuberville, Tommy",N00044434,2022,AL,R,S,2020,2026,9550353.19,9414941.96,135411.23,160520.06,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00044434&cycle=2022,12/31/2022
"Carey, Mike",N00048568,2022,OH,R,H,2021,2022,2341628.96,2263012.81,78616.15,0,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00048568&cycle=2022,12/31/2022
"Stevens, Haley",N00040915,2022,MI,D,H,2018,2022,5536416.36,5614427.23,6983.25,26493.89,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00040915&cycle=2022,12/31/2022
"Carter, Buddy",N00035346,2022,GA,R,H,2014,2022,2087985.46,1976302.56,1817608.24,0,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00035346&cycle=2022,12/31/2022
"Bost, Mike",N00035420,2022,IL,R,H,2014,2022,1649238.77,1673156.93,389871.13,0,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00035420&cycle=2022,12/31/2022
"McCaul, Michael",N00026460,2022,TX,R,H,2004,2022,2721294.14,2468270.21,260757.62,0,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00026460&cycle=2022,12/31/2022
"Gimenez, Carlos",N00046394,2022,FL,R,H,2020,2022,2128542.65,1447907.46,719806.09,0,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00046394&cycle=2022,12/31/2022
"Morelle, Joseph D",N00043207,2022,NY,D,H,2018,2022,2233253.4,2340553.59,52875.19,0,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00043207&cycle=2022,12/31/2022
"Blumenthal, Richard",N00031685,2022,CT,D,S,2010,2022,9197669.03,10901199.39,1249888.76,0,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00031685&cycle=2022,12/31/2022
"Laturner, Jake",N00044232,2022,KS,R,H,2020,2022,1468889.95,1201983.55,281853.36,0,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00044232&cycle=2022,12/31/2022
"Lofgren, Zoe",N00007479,2022,CA,D,H,1994,2022,1884334.43,2633502.04,411369.83,1975,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00007479&cycle=2022,12/31/2022
"Beatty, Joyce",N00033904,2022,OH,D,H,2012,2022,2232256.04,1031948.78,2156897.06,2500,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00033904&cycle=2022,12/31/2022
"Menendez, Robert",N00000699,2022,NJ,D,S,2006,2024,16539812.8,12315290.46,5867647.04,0,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00000699&cycle=2022,12/31/2022
"Babin, Brian",N00005736,2022,TX,R,H,2014,2022,1053277.82,913419.71,924939.39,0,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00005736&cycle=2022,12/31/2022
"Rounds, Mike",N00035187,2022,SD,R,S,2014,2026,4688906.74,3370513.58,1397539.15,0,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00035187&cycle=2022,12/31/2022
"Schrier, Kim",N00041606,2022,WA,D,H,2018,2022,9435678.7,10798422.37,350389.54,0,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00041606&cycle=2022,12/31/2022
"Desjarlais, Scott",N00030957,2022,TN,R,H,2010,2022,170488.48,157075.2,316062.63,0,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00030957&cycle=2022,12/31/2022
"Ocasio-Cortez, Alexandria",N00041162,2022,NY,D,H,2018,2022,12304636.18,11141626.13,5188366.31,0,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00041162&cycle=2022,12/31/2022
"Crawford, Rick",N00030770,2022,AR,R,H,2010,2022,1086520.34,646726.25,622502.33,0,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00030770&cycle=2022,12/31/2022
"Pingree, Chellie",N00013817,2022,ME,D,H,2008,2022,576407.49,618790.31,404275.34,20000,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00013817&cycle=2022,12/31/2022
"Murray, Patty",N00007876,2022,WA,D,S,1992,2022,20110430.36,23273434.39,558340.18,0,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00007876&cycle=2022,12/31/2022
"Schultz, Debbie Wasserman",N00026106,2022,FL,D,H,2004,2022,2081939.28,1915792.61,782379.35,0,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00026106&cycle=2022,12/31/2022
"Santos, George",N00046427,2022,,R,,,2022,2985227.56,3078598.19,34908.19,755000,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00046427&cycle=2022,12/31/2022
"Cramer, Kevin",N00004614,2022,ND,R,S,2018,2024,6935749.21,6925316.38,403240.77,0,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00004614&cycle=2022,12/31/2022
"Eshoo, Anna",N00007335,2022,CA,D,H,1992,2022,2031747.01,2063597.37,520948.43,0,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00007335&cycle=2022,12/31/2022
"Norman, Ralph",N00027783,2022,SC,R,H,2017,2022,394572.51,590961.77,531549.79,0,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00027783&cycle=2022,12/31/2022
"Rose, John",N00041599,2022,TN,R,H,2018,2022,1055257.23,677309.2,832323.01,1503577.04,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00041599&cycle=2022,12/31/2022
"Houchin, Erin",N00037427,2022,,R,,,2022,1347483.31,935258.98,412224.33,1409.71,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00037427&cycle=2022,12/31/2022
"Wexton, Jennifer",N00041002,2022,VA,D,H,2018,2022,3791922.85,5677618.71,255002.43,0,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00041002&cycle=2022,12/31/2022
"Courtney, Joe",N00024842,2022,CT,D,H,2006,2022,1934053.7,2477759.96,172106.43,0,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00024842&cycle=2022,12/31/2022
"Cohen, Steve",N00003225,2022,TN,D,H,2006,2022,546322.08,313772.7,1448668.23,0,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00003225&cycle=2022,12/31/2022
"Moolenaar, John",N00036275,2022,MI,R,H,2014,2022,2181165.26,2286141.04,506170.81,23860.14,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00036275&cycle=2022,12/31/2022
"Fischer, Deb",N00033443,2022,NE,R,S,2012,2024,6613960.35,6242888.28,1400197.44,0,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00033443&cycle=2022,12/31/2022
"Pence, Greg",N00041956,2022,IN,R,H,2018,2022,2233391.42,2358649.08,385568.92,0,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00041956&cycle=2022,12/31/2022
"Wyden, Ron",N00007724,2022,OR,D,S,1996,2022,13846226.22,13898592.31,3345924.99,0,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00007724&cycle=2022,12/31/2022
"Paul, Rand",N00030836,2022,KY,R,S,2010,2022,27751256.82,22614746.83,5365435.17,0,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00030836&cycle=2022,12/31/2022
"Bishop, Sanford",N00002674,2022,GA,D,H,1992,2022,3011853.46,3150164.5,54216.67,0,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00002674&cycle=2022,12/31/2022
"Jeffries, Hakeem",N00033640,2022,NY,D,H,2012,2022,5895085.48,5824142.65,2216225.11,0,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00033640&cycle=2022,12/31/2022
"Crow, Jason",N00040876,2022,CO,D,H,2018,2022,2679757.63,2387476.69,1581285.7,0,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00040876&cycle=2022,12/31/2022
"Allen, Richard W",N00033720,2022,GA,R,H,2014,2022,990680.5,778345.57,859244.31,1125000,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00033720&cycle=2022,12/31/2022
"Cruz, Ted",N00033085,2022,TX,R,S,2012,2024,66892012.07,67719423.18,3380280.67,0,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00033085&cycle=2022,12/31/2022
"Raskin, Jamie",N00037036,2022,MD,D,H,2016,2022,4597355.79,2814887.07,3120998.44,0,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00037036&cycle=2022,12/31/2022
"Britt, Katie Boyd",N00048812,2022,,R,,,2022,11417742.13,9709010.65,1708731.48,30327,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00048812&cycle=2022,12/31/2022
"Gosar, Paul",N00030771,2022,AZ,R,H,2010,2022,935270.88,841090.94,107638.78,0,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00030771&cycle=2022,12/31/2022
"Murphy, Greg",N00044027,2022,NC,R,H,2019,2022,1940351.86,1393070.09,809512.87,0,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00044027&cycle=2022,12/31/2022
"Palmer, Gary",N00035691,2022,AL,R,H,2014,2022,1206725.94,1131347.94,446065.86,0,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00035691&cycle=2022,12/31/2022
"Ruppersberger, Dutch",N00025482,2022,MD,D,H,2002,2022,1079670.29,1374313.78,909570.19,0,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00025482&cycle=2022,12/31/2022
"Sorensen, Eric",N00049558,2022,,D,,,2022,3078534.68,3037606.65,40928.03,0,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00049558&cycle=2022,12/31/2022
"Crapo, Mike",N00006267,2022,ID,R,S,1998,2022,7412180.28,7891743.39,2386367.66,0,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00006267&cycle=2022,12/31/2022
"Cuellar, Henry",N00024978,2022,TX,D,H,2004,2022,4642299.43,6145028.06,47744.1,0,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00024978&cycle=2022,12/31/2022
"Malliotakis, Nicole",N00044040,2022,NY,R,H,2020,2022,4584760.14,4557385.42,50318.15,0,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00044040&cycle=2022,12/31/2022
"Gomez, Jimmy",N00040597,2022,CA,D,H,2017,2022,1767637.38,1701653.18,555502.79,15233.56,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00040597&cycle=2022,12/31/2022
"Gonzalez, Vicente",N00038809,2022,TX,D,H,2016,2022,2935983.25,4002521.9,303953.83,0,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00038809&cycle=2022,12/31/2022
"Schumer, Charles E",N00001093,2022,NY,D,S,1998,2022,41173373.29,41968147.2,9882043.66,0,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00001093&cycle=2022,12/31/2022
"Lee, Susie",N00037247,2022,NV,D,H,2018,2022,6256384.2,6247721.19,37366.76,0,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00037247&cycle=2022,12/31/2022
"Gottheimer, Josh",N00036944,2022,NJ,D,H,2016,2022,8729197.38,3732347.57,13345948.22,0,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00036944&cycle=2022,12/31/2022
"LaLota, Nick",N00050419,2022,,R,,,2022,1489144.25,1411581.7,77562.55,0,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00050419&cycle=2022,12/31/2022
"Deluzio, Christopher",N00049160,2022,,D,,,2022,3258647.25,3236519.42,22127.83,24033.33,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00049160&cycle=2022,12/31/2022
"Mooney, Alex",N00033814,2022,WV,R,H,2014,2022,4452694.74,6763730.36,7082.7,0,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00033814&cycle=2022,12/31/2022
"Tokuda, Jill",N00051049,2022,,D,,,2022,1014969.62,814233.58,200736.04,0,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00051049&cycle=2022,12/31/2022
"Mullin, Kevin",N00049438,2022,,D,,,2022,1175432.18,1152898.03,22534.15,5120.25,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00049438&cycle=2022,12/31/2022
"Escobar, Veronica",N00041702,2022,TX,D,H,2018,2022,1294537.87,1332680.5,246712.65,0,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00041702&cycle=2022,12/31/2022
"Grijalva, Raul M",N00025284,2022,AZ,D,H,2002,2022,643775.65,663778.46,206205.86,9421.5,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00025284&cycle=2022,12/31/2022
"Gooden, Lance",N00042237,2022,TX,R,H,2018,2022,1038969.23,1021285.68,470218.28,0,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00042237&cycle=2022,12/31/2022
"Graham, Lindsey",N00009975,2022,SC,R,S,2002,2026,116814186.71,102622183.76,14648125.38,0,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00009975&cycle=2022,12/31/2022
"Wicker, Roger",N00003280,2022,MS,R,S,2007,2024,8476457.98,7543238.26,2553653.95,0,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00003280&cycle=2022,12/31/2022
"Risch, James E",N00029441,2022,ID,R,S,2008,2026,3577858.44,2413958.63,2243062.03,0,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00029441&cycle=2022,12/31/2022
"Chavez-Deremer, Lori",N00048900,2022,,R,,,2022,2554150.52,2544689.1,9461.42,395000,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00048900&cycle=2022,12/31/2022
"Barr, Andy",N00031233,2022,KY,R,H,2012,2022,3809734.52,2123665.89,2040772.12,0,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00031233&cycle=2022,12/31/2022
"Bucshon, Larry",N00031227,2022,IN,R,H,2010,2022,1419756.16,1149419.02,477257.29,1299.49,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00031227&cycle=2022,12/31/2022
"Ross, Deborah",N00038565,2022,NC,D,H,2020,2022,2112134.85,2094268.62,469324.36,0,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00038565&cycle=2022,12/31/2022
"Schweikert, David",N00006460,2022,AZ,R,H,2010,2022,1903339.07,1909984.27,52936.95,205171.06,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00006460&cycle=2022,12/31/2022
"Kildee, Dan",N00033395,2022,MI,D,H,2012,2022,5593526.81,6353374.34,21873.97,37554.05,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00033395&cycle=2022,12/31/2022
"Davidson, Warren",N00038767,2022,OH,R,H,2016,2022,940371.15,1007618.84,337467.46,0,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00038767&cycle=2022,12/31/2022
"Larson, John",N00000575,2022,CT,D,H,1998,2022,1733613.91,1786518.88,364470.26,11992.27,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00000575&cycle=2022,12/31/2022
"Duckworth, Tammy",N00027860,2022,IL,D,S,2016,2022,20976943.35,19531524.3,1582821.76,0,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00027860&cycle=2022,12/31/2022
"Bentz, Cliff",N00045773,2022,OR,R,H,2020,2022,1175493.61,592632.54,671914.76,48100,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00045773&cycle=2022,12/31/2022
"Johnson, Hank",N00027848,2022,GA,D,H,2006,2022,566901.19,685515.93,63785.2,6211.2,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00027848&cycle=2022,12/31/2022
"Thompson, Glenn",N00029736,2022,PA,R,H,2008,2022,2641673.34,2381073.91,353776.05,0,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00029736&cycle=2022,12/31/2022
"Coleman, Bonnie Watson",N00036158,2022,NJ,D,H,2014,2022,920887.44,959405.44,68641.92,0,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00036158&cycle=2022,12/31/2022
"Adams, Alma",N00035451,2022,NC,D,H,2014,2022,947655.92,750886.76,543442.3,0,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00035451&cycle=2022,12/31/2022
"Davids, Sharice",N00042626,2022,KS,D,H,2018,2022,7772034.34,8187561.55,63623.24,0,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00042626&cycle=2022,12/31/2022
"Tillis, Thom",N00035492,2022,NC,R,S,2014,2026,25465882.73,24857159.41,735217.75,0,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00035492&cycle=2022,12/31/2022
"Cherfilus-McCormick, Sheila",N00043504,2022,FL,D,H,2022,2022,4284981.63,4322164.08,2778.46,3796925,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00043504&cycle=2022,12/31/2022
"Bera, Ami",N00030717,2022,CA,D,H,2012,2022,1494408.14,1788293.4,1735132.93,172800,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00030717&cycle=2022,12/31/2022
"Obernolte, Jay",N00045377,2022,CA,R,H,2020,2022,1031818.39,731248.28,367653.32,1318294,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00045377&cycle=2022,12/31/2022
"Peters, Scott",N00033591,2022,CA,D,H,2012,2022,2384007.91,2231168.95,1733957.05,170760.12,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00033591&cycle=2022,12/31/2022
"Clyde, Andrew",N00046654,2022,GA,R,H,2020,2022,812118.75,795421.88,24805.35,1262363.64,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00046654&cycle=2022,12/31/2022
"DeLauro, Rosa",N00000615,2022,CT,D,H,1990,2022,2136637.71,2182911.14,113454.9,0,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00000615&cycle=2022,12/31/2022
"Whitehouse, Sheldon",N00027533,2022,RI,D,S,2006,2024,7025272.25,6811781.75,1317905.43,0,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00027533&cycle=2022,12/31/2022
"Smith, Chris",N00009816,2022,NJ,R,H,1980,2022,1488957.57,1404098.64,226433.26,0,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00009816&cycle=2022,12/31/2022
"Bergman, John",N00039533,2022,MI,R,H,2016,2022,1698173.39,1828501.83,10071.5,42680,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00039533&cycle=2022,12/31/2022
"Scott, Tim",N00031782,2022,SC,R,S,2013,2022,51691050.41,33792372.06,21778423.41,0,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00031782&cycle=2022,12/31/2022
"Smith, Jason",N00035282,2022,MO,R,H,2013,2022,3194672.85,4238404.63,487947.8,0,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00035282&cycle=2022,12/31/2022
"Bishop, Dan",N00044335,2022,NC,R,H,2019,2022,1934842.2,695009.78,1300228.47,17338.49,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00044335&cycle=2022,12/31/2022
"Dunn, Neal",N00037442,2022,FL,R,H,2016,2022,1723063.17,1880119.59,245006.23,563057.16,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00037442&cycle=2022,12/31/2022
"Westerman, Bruce",N00035527,2022,AR,R,H,2014,2022,1928211.52,1429466.51,1475551.02,0,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00035527&cycle=2022,12/31/2022
"Payne, Donald M Jr",N00034639,2022,NJ,D,H,2012,2022,1361049.76,1493971.53,48350.07,0,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00034639&cycle=2022,12/31/2022
"Hudson, Richard",N00033630,2022,NC,R,H,2012,2022,3087196.83,1882152.18,1435963.06,0,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00033630&cycle=2022,12/31/2022
"Miller-Meeks, Mariannette",N00029495,2022,IA,R,H,2020,2022,4560193.18,4684267.32,328338.42,0,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00029495&cycle=2022,12/31/2022
"Fetterman, John",N00038201,2022,,D,,,2022,75117032.55,74489682.73,627349.82,3720,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00038201&cycle=2022,12/31/2022
"Trone, David",N00039122,2022,MD,D,H,2018,2022,10504350.16,10394924.12,203106.35,10699194,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00039122&cycle=2022,12/31/2022
"Luna, Anna Paulina",N00045228,2022,,R,,,2022,3357005.87,3352878.09,44836.24,0,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00045228&cycle=2022,12/31/2022
"Johnson, Bill",N00032088,2022,OH,R,H,2010,2022,1677186.48,1550751.28,985265.36,0,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00032088&cycle=2022,12/31/2022
"Schiff, Adam",N00009585,2022,CA,D,H,2000,2022,24993914.45,18036599.79,20865016.38,0,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00009585&cycle=2022,12/31/2022
"Spartz, Victoria",N00046537,2022,IN,R,H,2020,2022,4078334.24,2611080.19,1576378.46,1137000,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00046537&cycle=2022,12/31/2022
"Williams, Brandon",N00050433,2022,,R,,,2022,934187.61,910023.67,24163.94,105129.99,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00050433&cycle=2022,12/31/2022
"Ezell, Mike",N00048240,2022,,R,,,2022,1028257.78,1019985.87,8271.91,96029.42,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00048240&cycle=2022,12/31/2022
"Donalds, Byron",N00034016,2022,FL,R,H,2020,2022,5601597.5,5344500.29,737991.28,0,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00034016&cycle=2022,12/31/2022
"Balderson, Troy",N00042194,2022,OH,R,H,2018,2022,1912045.06,1551303.66,403791.74,0,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00042194&cycle=2022,12/31/2022
"Takano, Mark",N00006701,2022,CA,D,H,2012,2022,1232289.88,905048.28,491205.72,0,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00006701&cycle=2022,12/31/2022
"Casten, Sean",N00041338,2022,IL,D,H,2018,2022,5509618.96,5801340.39,54416.17,75694.37,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00041338&cycle=2022,12/31/2022
"Boozman, John",N00013873,2022,AR,R,S,2010,2022,7717445.16,7283906.01,892219.68,0,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00013873&cycle=2022,12/31/2022
"Newhouse, Dan",N00036403,2022,WA,R,H,2014,2022,2118604.04,2403721.88,14601.06,0,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00036403&cycle=2022,12/31/2022
"Kennedy, John",N00026823,2022,LA,R,S,2016,2022,39406697.64,30720459.63,9906579.67,0,OpenSecrets,https://www.opensecrets.org/members-of-congress/summary?cid=N00026823&cycle=2022,12/31/2022
