org_name,total,pacs,indivs,cycle,source,cid
Frontline Homeowners Insurance,19400,0,19400,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00026335&cycle=2022,N00026335
US Sugar,12500,7500,5000,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00026335&cycle=2022,N00026335
Air Products & Chemicals Inc,11600,0,11600,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00026335&cycle=2022,N00026335
Fun Spot America,11600,0,11600,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00026335&cycle=2022,N00026335
LeeVista Center,11600,0,11600,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00026335&cycle=2022,N00026335
Sea & Shoreline LLC,11600,0,11600,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00026335&cycle=2022,N00026335
Phoenix American Insurance Group,11200,0,11200,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00026335&cycle=2022,N00026335
The Villages,11200,0,11200,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00026335&cycle=2022,N00026335
American Israel Public Affairs Cmte,10000,10000,0,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00026335&cycle=2022,N00026335
Eye of the Tiger PAC,10000,10000,0,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00026335&cycle=2022,N00026335
