org_name,total,pacs,indivs,cycle,source,cid
Southern Glazer's Wine & Spirits,23200,0,23200,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00039122&cycle=2022,N00039122
Allied Beverage Group,17400,0,17400,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00039122&cycle=2022,N00039122
Caymus Vineyards,17400,0,17400,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00039122&cycle=2022,N00039122
"Buchanan, Ingersoll & Rooney",11600,0,11600,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00039122&cycle=2022,N00039122
Sierra Nevada Corp,11600,0,11600,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00039122&cycle=2022,N00039122
Southern Wine & Spirits,11600,0,11600,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00039122&cycle=2022,N00039122
International Assn of Fire Fighters,7500,7500,0,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00039122&cycle=2022,N00039122
Bain Capital,5800,0,5800,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00039122&cycle=2022,N00039122
Bluestem Asset Management,5800,0,5800,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00039122&cycle=2022,N00039122
Dispact,5800,0,5800,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00039122&cycle=2022,N00039122
