org_name,total,pacs,indivs,cycle,source,cid
American Israel Public Affairs Cmte,22000,10000,12000,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00039777&cycle=2022,N00039777
Total Military Management,20000,0,20000,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00039777&cycle=2022,N00039777
JB Coxwell Contracting,17400,0,17400,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00039777&cycle=2022,N00039777
Frp Holdings,11600,0,11600,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00039777&cycle=2022,N00039777
Greenpointe Holdings,11600,0,11600,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00039777&cycle=2022,N00039777
Hutson Companies,11600,0,11600,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00039777&cycle=2022,N00039777
Petro Services (Florida),11600,0,11600,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00039777&cycle=2022,N00039777
Ring Power Corp,11600,0,11600,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00039777&cycle=2022,N00039777
Sierra Nevada Corp,10400,7500,2900,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00039777&cycle=2022,N00039777
American Maritime Officers,10000,10000,0,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00039777&cycle=2022,N00039777
