org_name,total,pacs,indivs,cycle,source,cid
Democracy Engine,118425,0,118425,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00040853&cycle=2022,N00040853
JStreetPAC,85388,1000,84388,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00040853&cycle=2022,N00040853
Bessemer Venture Partners,66800,0,66800,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00040853&cycle=2022,N00040853
Google Inc,57799,0,57799,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00040853&cycle=2022,N00040853
Stanford University,43540,0,43540,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00040853&cycle=2022,N00040853
Frontline USA,39585,7500,32085,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00040853&cycle=2022,N00040853
Cooley Llp,36100,0,36100,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00040853&cycle=2022,N00040853
American Israel Public Affairs Cmte,35850,7900,27950,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00040853&cycle=2022,N00040853
"Keker, Van Nest & Peters",34833,0,34833,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00040853&cycle=2022,N00040853
University of California/Berkeley,29551,0,29551,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00040853&cycle=2022,N00040853
