org_name,total,pacs,indivs,cycle,source,cid
Art Moran Buick Gmc,28362,0,28362,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00039533&cycle=2022,N00039533
Charles Schwab Corp,27833,0,27833,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00039533&cycle=2022,N00039533
American Israel Public Affairs Cmte,21600,10000,11600,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00039533&cycle=2022,N00039533
Zurich,20505,0,20505,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00039533&cycle=2022,N00039533
Kls,13733,0,13733,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00039533&cycle=2022,N00039533
Total Military Management,13300,0,13300,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00039533&cycle=2022,N00039533
Koll LLC,12521,0,12521,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00039533&cycle=2022,N00039533
Duchossois Group,11600,0,11600,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00039533&cycle=2022,N00039533
Immunomedics,11600,0,11600,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00039533&cycle=2022,N00039533
Rich Dad Co,11600,0,11600,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00039533&cycle=2022,N00039533
