org_name,total,pacs,indivs,cycle,source,cid
Comcast Corp,28400,10000,18400,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00038450&cycle=2022,N00038450
Ballard Spahr LLP,14500,10000,4500,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00038450&cycle=2022,N00038450
Duane Morris LLP,13900,8500,5400,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00038450&cycle=2022,N00038450
Arista Networks,11600,0,11600,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00038450&cycle=2022,N00038450
Independence Blue Cross,11000,5000,6000,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00038450&cycle=2022,N00038450
JStreetPAC,10750,5000,5750,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00038450&cycle=2022,N00038450
American Crystal Sugar,10000,10000,0,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00038450&cycle=2022,N00038450
American Federation of State/Cnty/Munic Employees,10000,10000,0,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00038450&cycle=2022,N00038450
American Hospital Assn,10000,10000,0,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00038450&cycle=2022,N00038450
Bricklayers Union,10000,10000,0,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00038450&cycle=2022,N00038450
