org_name,total,pacs,indivs,cycle,source,cid
Energy Weldfab,23200,0,23200,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00049775&cycle=2022,N00049775
American Israel Public Affairs Cmte,20500,5000,15500,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00049775&cycle=2022,N00049775
Network Ip,11800,0,11800,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00049775&cycle=2022,N00049775
Drake,11600,0,11600,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00049775&cycle=2022,N00049775
Moran'S Refreshments,11600,0,11600,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00049775&cycle=2022,N00049775
Republican Main Street Partnership,11000,11000,0,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00049775&cycle=2022,N00049775
Citizens First Bank,10800,0,10800,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00049775&cycle=2022,N00049775
Majority Cmte PAC,10000,10000,0,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00049775&cycle=2022,N00049775
Martin Resource Management,10000,0,10000,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00049775&cycle=2022,N00049775
National Assn of Realtors,10000,10000,0,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00049775&cycle=2022,N00049775
