org_name,total,pacs,indivs,cycle,source,cid
JStreetPAC,34152,2973,31179,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00040878&cycle=2022,N00040878
Democracy Engine,29927,0,29927,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00040878&cycle=2022,N00040878
University Of Colorado,25127,0,25127,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00040878&cycle=2022,N00040878
State of Colorado,23955,0,23955,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00040878&cycle=2022,N00040878
Digidems PAC,23200,0,23200,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00040878&cycle=2022,N00040878
AmeriPAC: The Fund for a Greater America,22400,10000,12400,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00040878&cycle=2022,N00040878
New Democrat Coalition,17800,8500,9300,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00040878&cycle=2022,N00040878
Frontline USA,16300,10000,6300,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00040878&cycle=2022,N00040878
Microsoft Corp,16177,0,16177,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00040878&cycle=2022,N00040878
University of Denver,14880,0,14880,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00040878&cycle=2022,N00040878
