org_name,total,pacs,indivs,cycle,source,cid
Club for Growth,101200,4300,96900,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00042268&cycle=2022,N00042268
House Freedom Fund,44800,10000,34800,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00042268&cycle=2022,N00042268
Nustar Energy,17800,10000,7800,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00042268&cycle=2022,N00042268
Parsley Energy,17400,0,17400,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00042268&cycle=2022,N00042268
Anthem Ventures,14500,0,14500,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00042268&cycle=2022,N00042268
Bennett Ventures (Texas),11600,0,11600,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00042268&cycle=2022,N00042268
Dimensional Fund Advisors,11600,0,11600,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00042268&cycle=2022,N00042268
Frontier Truck Gear,11600,0,11600,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00042268&cycle=2022,N00042268
Sola Vaca Ranch,11600,0,11600,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00042268&cycle=2022,N00042268
Pjs of Texas,11500,0,11500,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00042268&cycle=2022,N00042268
