sector_name,sectorid,indivs,pacs,total,last_updated,cycle
Agribusiness,A,69540,50000,119540,03/20/2023,2022
Communic/Electronics,B,24840,71000,95840,03/20/2023,2022
Construction,C,36744,35500,72244,03/20/2023,2022
Defense,D,19835,11000,30835,03/20/2023,2022
Energy/Nat Resource,E,28211,68500,96711,03/20/2023,2022
Finance/Insur/RealEst,F,480147,829000,1309147,03/20/2023,2022
Health,H,30402,106500,136902,03/20/2023,2022
Lawyers & Lobbyists,K,131305,28000,159305,03/20/2023,2022
Transportation,M,99387,87000,186387,03/20/2023,2022
Misc Business,N,129617,116142,245759,03/20/2023,2022
Labor,P,0,13500,13500,03/20/2023,2022
Ideology/Single-Issue,Q,160415,303400,463815,03/20/2023,2022
Other,W,707553,1500,709053,03/20/2023,2022
