sector_name,sectorid,indivs,pacs,total,last_updated,cycle
Agribusiness,A,6400,36500,42900,03/20/2023,2022
Communic/Electronics,B,5500,13000,18500,03/20/2023,2022
Construction,C,16500,42000,58500,03/20/2023,2022
Energy/Nat Resource,E,33850,92500,126350,03/20/2023,2022
Finance/Insur/RealEst,F,36750,130000,166750,03/20/2023,2022
Health,H,37850,103500,141350,03/20/2023,2022
Lawyers & Lobbyists,K,65492,3000,68492,03/20/2023,2022
Transportation,M,52900,54000,106900,03/20/2023,2022
Misc Business,N,21600,66500,88100,03/20/2023,2022
Labor,P,0,17000,17000,03/20/2023,2022
Ideology/Single-Issue,Q,25000,120335,145335,03/20/2023,2022
Other,W,93375,0,93375,03/20/2023,2022
