sector_name,sectorid,indivs,pacs,total,last_updated,cycle
Agribusiness,A,15755,0,15755,03/20/2023,2022
Communic/Electronics,B,20000,2000,22000,03/20/2023,2022
Construction,C,34957,0,34957,03/20/2023,2022
Defense,D,175,1000,1175,03/20/2023,2022
Energy/Nat Resource,E,25653,0,25653,03/20/2023,2022
Finance/Insur/RealEst,F,374450,13500,387950,03/20/2023,2022
Health,H,63838,0,63838,03/20/2023,2022
Lawyers & Lobbyists,K,49693,0,49693,03/20/2023,2022
Transportation,M,7410,0,7410,03/20/2023,2022
Misc Business,N,115591,0,115591,03/20/2023,2022
Labor,P,0,2500,2500,03/20/2023,2022
Ideology/Single-Issue,Q,97419,213100,310519,03/20/2023,2022
Other,W,313588,0,313588,03/20/2023,2022
