sector_name,sectorid,indivs,pacs,total,last_updated,cycle
Agribusiness,A,36615,4000,40615,03/20/2023,2022
Communic/Electronics,B,35860,23000,58860,03/20/2023,2022
Construction,C,68241,7000,75241,03/20/2023,2022
Defense,D,825,7500,8325,03/20/2023,2022
Energy/Nat Resource,E,17801,9000,26801,03/20/2023,2022
Finance/Insur/RealEst,F,304445,30000,334445,03/20/2023,2022
Health,H,61630,15400,77030,03/20/2023,2022
Lawyers & Lobbyists,K,44128,6000,50128,03/20/2023,2022
Transportation,M,17309,28500,45809,03/20/2023,2022
Misc Business,N,128470,37500,165970,03/20/2023,2022
Labor,P,35,2000,2035,03/20/2023,2022
Ideology/Single-Issue,Q,596105,148805,744910,03/20/2023,2022
Other,W,572247,8000,580247,03/20/2023,2022
