sector_name,sectorid,indivs,pacs,total,last_updated,cycle
Agribusiness,A,1000,0,1000,03/20/2023,2022
Communic/Electronics,B,92010,3980,95990,03/20/2023,2022
Construction,C,25300,0,25300,03/20/2023,2022
Energy/Nat Resource,E,4500,0,4500,03/20/2023,2022
Finance/Insur/RealEst,F,538043,5000,543043,03/20/2023,2022
Health,H,37140,2500,39640,03/20/2023,2022
Lawyers & Lobbyists,K,297130,5000,302130,03/20/2023,2022
Transportation,M,8700,0,8700,03/20/2023,2022
Misc Business,N,121450,2500,123950,03/20/2023,2022
Labor,P,0,37000,37000,03/20/2023,2022
Ideology/Single-Issue,Q,74400,40075,114475,03/20/2023,2022
Other,W,274722,0,274722,03/20/2023,2022
