sector_name,sectorid,indivs,pacs,total,last_updated,cycle
Agribusiness,A,153750,169688,323438,03/20/2023,2022
Communic/Electronics,B,9150,17500,26650,03/20/2023,2022
Construction,C,44350,20500,64850,03/20/2023,2022
Energy/Nat Resource,E,39400,48500,87900,03/20/2023,2022
Finance/Insur/RealEst,F,106325,70900,177225,03/20/2023,2022
Health,H,7750,22500,30250,03/20/2023,2022
Lawyers & Lobbyists,K,27750,5000,32750,03/20/2023,2022
Transportation,M,42050,32000,74050,03/20/2023,2022
Misc Business,N,38730,15500,54230,03/20/2023,2022
Labor,P,0,4000,4000,03/20/2023,2022
Ideology/Single-Issue,Q,22950,85000,107950,03/20/2023,2022
Other,W,71350,1000,72350,03/20/2023,2022
