sector_name,sectorid,indivs,pacs,total,last_updated,cycle
Agribusiness,A,105069,54050,159119,03/20/2023,2022
Communic/Electronics,B,547687,80250,627937,03/20/2023,2022
Construction,C,104320,25000,129320,03/20/2023,2022
Defense,D,39372,11500,50872,03/20/2023,2022
Energy/Nat Resource,E,73302,32500,105802,03/20/2023,2022
Finance/Insur/RealEst,F,787309,110499,897808,03/20/2023,2022
Health,H,356848,180000,536848,03/20/2023,2022
Lawyers & Lobbyists,K,764194,51000,815194,03/20/2023,2022
Transportation,M,45139,22500,67639,03/20/2023,2022
Misc Business,N,642636,64500,707136,03/20/2023,2022
Labor,P,8713,256000,264713,03/20/2023,2022
Ideology/Single-Issue,Q,1068893,628930,1697823,03/20/2023,2022
Other,W,2112429,1500,2113929,03/20/2023,2022
