sector_name,sectorid,indivs,pacs,total,last_updated,cycle
Agribusiness,A,800,11000,11800,03/20/2023,2022
Communic/Electronics,B,12250,30000,42250,03/20/2023,2022
Construction,C,14500,19000,33500,03/20/2023,2022
Energy/Nat Resource,E,10900,61000,71900,03/20/2023,2022
Finance/Insur/RealEst,F,55625,51400,107025,03/20/2023,2022
Health,H,29170,56750,85920,03/20/2023,2022
Lawyers & Lobbyists,K,95075,31450,126525,03/20/2023,2022
Transportation,M,22625,50000,72625,03/20/2023,2022
Misc Business,N,21586,17500,39086,03/20/2023,2022
Labor,P,250,226600,226850,03/20/2023,2022
Ideology/Single-Issue,Q,16600,212914,229514,03/20/2023,2022
Other,W,70325,0,70325,03/20/2023,2022
