sector_name,sectorid,indivs,pacs,total,last_updated,cycle
Agribusiness,A,48484,5500,53984,03/20/2023,2022
Communic/Electronics,B,132630,13500,146130,03/20/2023,2022
Construction,C,93156,1000,94156,03/20/2023,2022
Defense,D,8325,16000,24325,03/20/2023,2022
Energy/Nat Resource,E,144881,16000,160881,03/20/2023,2022
Finance/Insur/RealEst,F,1689319,85000,1774319,03/20/2023,2022
Health,H,207327,66000,273327,03/20/2023,2022
Lawyers & Lobbyists,K,194420,6285,200705,03/20/2023,2022
Transportation,M,79167,-2000,77167,03/20/2023,2022
Misc Business,N,527624,31500,559124,03/20/2023,2022
Labor,P,1,3500,3501,03/20/2023,2022
Ideology/Single-Issue,Q,40597,16093,56690,03/20/2023,2022
Other,W,926885,0,926885,03/20/2023,2022
