org_name,total,pacs,indivs,cycle,source,cid
Democracy Engine,50800,0,50800,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00003522&cycle=2022,N00003522
JStreetPAC,36950,3500,33450,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00003522&cycle=2022,N00003522
Democratic Congressional Campaign Cmte,23345,9995,13350,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00003522&cycle=2022,N00003522
Cleveland-Cliffs,20300,10000,10300,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00003522&cycle=2022,N00003522
University of Toledo,17700,0,17700,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00003522&cycle=2022,N00003522
Frontline USA,16400,2500,13900,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00003522&cycle=2022,N00003522
First Solar,15849,9999,5850,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00003522&cycle=2022,N00003522
US House of Representatives,14300,0,14300,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00003522&cycle=2022,N00003522
Promedica Health System,13600,0,13600,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00003522&cycle=2022,N00003522
General Atomics,12900,10000,2900,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00003522&cycle=2022,N00003522
