org_name,total,pacs,indivs,cycle,source,cid
Boyer Co,20800,0,20800,2020,https://www.opensecrets.org/members-of-congress/contributors?cid=N00046598&cycle=2020,N00046598
Gardner Co,15500,0,15500,2020,https://www.opensecrets.org/members-of-congress/contributors?cid=N00046598&cycle=2020,N00046598
Walker Edison,14600,0,14600,2020,https://www.opensecrets.org/members-of-congress/contributors?cid=N00046598&cycle=2020,N00046598
First Digital,11200,0,11200,2020,https://www.opensecrets.org/members-of-congress/contributors?cid=N00046598&cycle=2020,N00046598
Majority Cmte PAC,10000,10000,0,2020,https://www.opensecrets.org/members-of-congress/contributors?cid=N00046598&cycle=2020,N00046598
National Auto Dealers Assn,10000,10000,0,2020,https://www.opensecrets.org/members-of-congress/contributors?cid=N00046598&cycle=2020,N00046598
National Cattlemen's Beef Assn,10000,10000,0,2020,https://www.opensecrets.org/members-of-congress/contributors?cid=N00046598&cycle=2020,N00046598
Larry H Miller Group,8600,0,8600,2020,https://www.opensecrets.org/members-of-congress/contributors?cid=N00046598&cycle=2020,N00046598
Cicero Group,7100,0,7100,2020,https://www.opensecrets.org/members-of-congress/contributors?cid=N00046598&cycle=2020,N00046598
Cbre Inc,6950,0,6950,2020,https://www.opensecrets.org/members-of-congress/contributors?cid=N00046598&cycle=2020,N00046598
