org_name,total,pacs,indivs,cycle,source,cid
Microsoft Corp,45363,2500,42863,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00030693&cycle=2022,N00030693
Amazon.com,23500,10000,13500,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00030693&cycle=2022,N00030693
Valve Corp,23100,0,23100,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00030693&cycle=2022,N00030693
Ballmer Group,11600,0,11600,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00030693&cycle=2022,N00030693
Bessemer Venture Partners,11600,0,11600,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00030693&cycle=2022,N00030693
D4 LLC,11600,0,11600,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00030693&cycle=2022,N00030693
Democracy Engine,11600,0,11600,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00030693&cycle=2022,N00030693
"Kleiner, Perkins et al",11600,0,11600,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00030693&cycle=2022,N00030693
Raikes Foundation,11600,0,11600,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00030693&cycle=2022,N00030693
Boeing Co,10667,9000,1667,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00030693&cycle=2022,N00030693
