org_name,total,pacs,indivs,cycle,source,cid
Votesane PAC,37260,0,37260,2020,https://www.opensecrets.org/members-of-congress/contributors?cid=N00026790&cycle=2020,N00026790
Hallmark Cards,25000,7000,18000,2020,https://www.opensecrets.org/members-of-congress/contributors?cid=N00026790&cycle=2020,N00026790
Edp Enterprises,16800,0,16800,2020,https://www.opensecrets.org/members-of-congress/contributors?cid=N00026790&cycle=2020,N00026790
Service Employees International Union,12500,7500,5000,2020,https://www.opensecrets.org/members-of-congress/contributors?cid=N00026790&cycle=2020,N00026790
H&R Block,11500,10000,1500,2020,https://www.opensecrets.org/members-of-congress/contributors?cid=N00026790&cycle=2020,N00026790
PricewaterhouseCoopers,10250,10000,250,2020,https://www.opensecrets.org/members-of-congress/contributors?cid=N00026790&cycle=2020,N00026790
American Council of Life Insurers,10000,10000,0,2020,https://www.opensecrets.org/members-of-congress/contributors?cid=N00026790&cycle=2020,N00026790
American Federation of State/Cnty/Munic Employees,10000,10000,0,2020,https://www.opensecrets.org/members-of-congress/contributors?cid=N00026790&cycle=2020,N00026790
American Society of Anesthesiologists,10000,10000,0,2020,https://www.opensecrets.org/members-of-congress/contributors?cid=N00026790&cycle=2020,N00026790
Carpenters & Joiners Union,10000,10000,0,2020,https://www.opensecrets.org/members-of-congress/contributors?cid=N00026790&cycle=2020,N00026790
