org_name,total,pacs,indivs,cycle,source,cid
L3Harris Technologies,20040,20000,40,2020,https://www.opensecrets.org/members-of-congress/contributors?cid=N00036154&cycle=2020,N00036154
Service Employees International Union,15000,10000,5000,2020,https://www.opensecrets.org/members-of-congress/contributors?cid=N00036154&cycle=2020,N00036154
Phoenix Strategies,14000,0,14000,2020,https://www.opensecrets.org/members-of-congress/contributors?cid=N00036154&cycle=2020,N00036154
Raytheon Technologies,13000,13000,0,2020,https://www.opensecrets.org/members-of-congress/contributors?cid=N00036154&cycle=2020,N00036154
Am General Corp,12800,10000,2800,2020,https://www.opensecrets.org/members-of-congress/contributors?cid=N00036154&cycle=2020,N00036154
Comcast Corp,12800,10000,2800,2020,https://www.opensecrets.org/members-of-congress/contributors?cid=N00036154&cycle=2020,N00036154
Cozen O'Connor,12800,10000,2800,2020,https://www.opensecrets.org/members-of-congress/contributors?cid=N00036154&cycle=2020,N00036154
Lockheed Martin,12800,10000,2800,2020,https://www.opensecrets.org/members-of-congress/contributors?cid=N00036154&cycle=2020,N00036154
"Conner, Strong & Buckelew",12710,0,12710,2020,https://www.opensecrets.org/members-of-congress/contributors?cid=N00036154&cycle=2020,N00036154
Independence Blue Cross,12225,1000,11225,2020,https://www.opensecrets.org/members-of-congress/contributors?cid=N00036154&cycle=2020,N00036154
