org_name,total,pacs,indivs,cycle,source,cid
Service Employees International Union,15000,10000,5000,2020,https://www.opensecrets.org/members-of-congress/contributors?cid=N00006023&cycle=2020,N00006023
"Akin, Gump et al",12100,2000,10100,2020,https://www.opensecrets.org/members-of-congress/contributors?cid=N00006023&cycle=2020,N00006023
Wentwood Capital Advisors,11200,0,11200,2020,https://www.opensecrets.org/members-of-congress/contributors?cid=N00006023&cycle=2020,N00006023
"Schoenbaum, Curphy & Scanlan",10400,0,10400,2020,https://www.opensecrets.org/members-of-congress/contributors?cid=N00006023&cycle=2020,N00006023
American Assn for Justice,10000,10000,0,2020,https://www.opensecrets.org/members-of-congress/contributors?cid=N00006023&cycle=2020,N00006023
American Chiropractic Assn,10000,10000,0,2020,https://www.opensecrets.org/members-of-congress/contributors?cid=N00006023&cycle=2020,N00006023
American Federation of State/Cnty/Munic Employees,10000,10000,0,2020,https://www.opensecrets.org/members-of-congress/contributors?cid=N00006023&cycle=2020,N00006023
International Brotherhood of Electrical Workers,10000,10000,0,2020,https://www.opensecrets.org/members-of-congress/contributors?cid=N00006023&cycle=2020,N00006023
Ironworkers Union,10000,10000,0,2020,https://www.opensecrets.org/members-of-congress/contributors?cid=N00006023&cycle=2020,N00006023
Laborers Union/Midwest Region,10000,10000,0,2020,https://www.opensecrets.org/members-of-congress/contributors?cid=N00006023&cycle=2020,N00006023
