org_name,total,pacs,indivs,cycle,source,cid
Bain Capital,103200,0,103200,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00000286&cycle=2022,N00000286
Gardner Co,60200,0,60200,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00000286&cycle=2022,N00000286
Blackstone Group,45500,0,45500,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00000286&cycle=2022,N00000286
AQR Capital Management,41700,0,41700,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00000286&cycle=2022,N00000286
Sinclair Companies,32400,0,32400,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00000286&cycle=2022,N00000286
Credit Suisse Group,29000,0,29000,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00000286&cycle=2022,N00000286
Keller Investment Properties,27800,0,27800,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00000286&cycle=2022,N00000286
Larry H Miller Group,27600,0,27600,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00000286&cycle=2022,N00000286
Summit Partners,27000,0,27000,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00000286&cycle=2022,N00000286
Vivint Smart Home,27000,0,27000,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00000286&cycle=2022,N00000286
