org_name,total,pacs,indivs,cycle,source,cid
McDonald's Corp,39680,10000,29680,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00040829&cycle=2022,N00040829
NGL Energy Partners,16600,0,16600,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00040829&cycle=2022,N00040829
Williams Companies,13900,10000,3900,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00040829&cycle=2022,N00040829
Kansas City Urology Care,12815,0,12815,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00040829&cycle=2022,N00040829
Case & Assoc Properties,11600,0,11600,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00040829&cycle=2022,N00040829
Aaon Inc,11500,0,11500,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00040829&cycle=2022,N00040829
Hydrohoist Marine Group,11500,0,11500,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00040829&cycle=2022,N00040829
Devon Energy,10600,5000,5600,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00040829&cycle=2022,N00040829
American Crystal Sugar,10000,10000,0,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00040829&cycle=2022,N00040829
American Hotel & Lodging Assn,10000,10000,0,2022,https://www.opensecrets.org/members-of-congress/contributors?cid=N00040829&cycle=2022,N00040829
