org_name,total,pacs,indivs,cycle,source,cid
Diamond Pet Foods,40900,0,40900,2020,https://www.opensecrets.org/members-of-congress/contributors?cid=N00030026&cycle=2020,N00030026
Truist Financial,20000,20000,0,2020,https://www.opensecrets.org/members-of-congress/contributors?cid=N00030026&cycle=2020,N00030026
Veterans United Home Loans,14050,0,14050,2020,https://www.opensecrets.org/members-of-congress/contributors?cid=N00030026&cycle=2020,N00030026
American Bankers Assn,12800,10000,2800,2020,https://www.opensecrets.org/members-of-congress/contributors?cid=N00030026&cycle=2020,N00030026
Edward Jones,11750,6500,5250,2020,https://www.opensecrets.org/members-of-congress/contributors?cid=N00030026&cycle=2020,N00030026
Blackstone Group,11200,0,11200,2020,https://www.opensecrets.org/members-of-congress/contributors?cid=N00030026&cycle=2020,N00030026
Boeing Co,11100,11000,100,2020,https://www.opensecrets.org/members-of-congress/contributors?cid=N00030026&cycle=2020,N00030026
Ally Financial,11000,10000,1000,2020,https://www.opensecrets.org/members-of-congress/contributors?cid=N00030026&cycle=2020,N00030026
CGCN Group,10500,2800,7700,2020,https://www.opensecrets.org/members-of-congress/contributors?cid=N00030026&cycle=2020,N00030026
Independent Community Bankers of America,10500,10000,500,2020,https://www.opensecrets.org/members-of-congress/contributors?cid=N00030026&cycle=2020,N00030026
