sector_name,sectorid,indivs,pacs,total,last_updated,cycle
Agribusiness,A,6064,23300,29364,03/20/2023,2022
Communic/Electronics,B,57299,71800,129099,03/20/2023,2022
Construction,C,27296,16000,43296,03/20/2023,2022
Defense,D,23226,92250,115476,03/20/2023,2022
Energy/Nat Resource,E,2930,68500,71430,03/20/2023,2022
Finance/Insur/RealEst,F,197609,117000,314609,03/20/2023,2022
Health,H,85334,63000,148334,03/20/2023,2022
Lawyers & Lobbyists,K,140829,25500,166329,03/20/2023,2022
Transportation,M,24720,46000,70720,03/20/2023,2022
Misc Business,N,189491,46500,235991,03/20/2023,2022
Labor,P,1464,197000,198464,03/20/2023,2022
Ideology/Single-Issue,Q,55369,93912,149281,03/20/2023,2022
Other,W,369110,11000,380110,03/20/2023,2022
