sector_name,sectorid,indivs,pacs,total,last_updated,cycle
Agribusiness,A,4734,15000,19734,06/10/2019,2018
Communic/Electronics,B,7179,16000,23179,06/10/2019,2018
Construction,C,6846,2000,8846,06/10/2019,2018
Defense,D,27,7000,7027,06/10/2019,2018
Energy/Nat Resource,E,1012,15500,16512,06/10/2019,2018
Finance/Insur/RealEst,F,19366,21500,40866,06/10/2019,2018
Health,H,30255,72000,102255,06/10/2019,2018
Lawyers & Lobbyists,K,59602,9000,68602,06/10/2019,2018
Transportation,M,1506,11500,13006,06/10/2019,2018
Misc Business,N,25577,23500,49077,06/10/2019,2018
Labor,P,4792,205300,210092,06/10/2019,2018
Ideology/Single-Issue,Q,45370,37602,82972,06/10/2019,2018
Other,W,95020,0,95020,06/10/2019,2018
