sector_name,sectorid,indivs,pacs,total,last_updated,cycle
Agribusiness,A,7125,19500,26625,03/20/2023,2022
Communic/Electronics,B,13717,38500,52217,03/20/2023,2022
Construction,C,4030,10500,14530,03/20/2023,2022
Defense,D,1510,15000,16510,03/20/2023,2022
Energy/Nat Resource,E,5450,4500,9950,03/20/2023,2022
Finance/Insur/RealEst,F,89060,129500,218560,03/20/2023,2022
Health,H,62675,386000,448675,03/20/2023,2022
Lawyers & Lobbyists,K,46800,23250,70050,03/20/2023,2022
Transportation,M,585,42500,43085,03/20/2023,2022
Misc Business,N,16505,74510,91015,03/20/2023,2022
Labor,P,0,52600,52600,03/20/2023,2022
Ideology/Single-Issue,Q,99435,47912,147347,03/20/2023,2022
Other,W,180845,0,180845,03/20/2023,2022
