sector_name,sectorid,indivs,pacs,total,last_updated,cycle
Agribusiness,A,200,15700,15900,06/10/2019,2018
Communic/Electronics,B,325,22500,22825,06/10/2019,2018
Construction,C,22950,23500,46450,06/10/2019,2018
Defense,D,0,16500,16500,06/10/2019,2018
Energy/Nat Resource,E,5810,23100,28910,06/10/2019,2018
Finance/Insur/RealEst,F,44950,187500,232450,06/10/2019,2018
Health,H,25108,99500,124608,06/10/2019,2018
Lawyers & Lobbyists,K,52861,20750,73611,06/10/2019,2018
Transportation,M,10150,30000,40150,06/10/2019,2018
Misc Business,N,20695,53999,74694,06/10/2019,2018
Labor,P,5000,166350,171350,06/10/2019,2018
Ideology/Single-Issue,Q,8804,14099,22903,06/10/2019,2018
Other,W,21086,0,21086,06/10/2019,2018
