sector_name,sectorid,indivs,pacs,total,last_updated,cycle
Agribusiness,A,2000,18000,20000,03/20/2023,2022
Communic/Electronics,B,125615,114640,240255,03/20/2023,2022
Construction,C,4050,0,4050,03/20/2023,2022
Defense,D,0,9000,9000,03/20/2023,2022
Energy/Nat Resource,E,9800,17500,27300,03/20/2023,2022
Finance/Insur/RealEst,F,178575,73000,251575,03/20/2023,2022
Health,H,161319,435800,597119,03/20/2023,2022
Lawyers & Lobbyists,K,86560,40250,126810,03/20/2023,2022
Transportation,M,2900,19500,22400,03/20/2023,2022
Misc Business,N,47061,19500,66561,03/20/2023,2022
Labor,P,100,78000,78100,03/20/2023,2022
Ideology/Single-Issue,Q,37255,24712,61967,03/20/2023,2022
Other,W,198173,7500,205673,03/20/2023,2022
