sector_name,sectorid,indivs,pacs,total,last_updated,cycle
Agribusiness,A,90765,177748,268513,06/10/2019,2018
Communic/Electronics,B,3500,42679,46179,06/10/2019,2018
Construction,C,21600,35500,57100,06/10/2019,2018
Defense,D,2700,6500,9200,06/10/2019,2018
Energy/Nat Resource,E,35382,60893,96275,06/10/2019,2018
Finance/Insur/RealEst,F,73586,97750,171336,06/10/2019,2018
Health,H,37352,134500,171852,06/10/2019,2018
Lawyers & Lobbyists,K,27939,12000,39939,06/10/2019,2018
Transportation,M,20300,54000,74300,06/10/2019,2018
Misc Business,N,25150,44351,69501,06/10/2019,2018
Labor,P,0,14000,14000,06/10/2019,2018
Ideology/Single-Issue,Q,10200,92239,102439,06/10/2019,2018
Other,W,27350,1000,28350,06/10/2019,2018
