sector_name,sectorid,indivs,pacs,total,last_updated,cycle
Agribusiness,A,193071,145700,338771,06/10/2019,2018
Communic/Electronics,B,951056,171200,1122256,06/10/2019,2018
Construction,C,191224,51000,242224,06/10/2019,2018
Defense,D,19350,57000,76350,06/10/2019,2018
Energy/Nat Resource,E,106810,101900,208710,06/10/2019,2018
Finance/Insur/RealEst,F,1584181,205500,1789681,06/10/2019,2018
Health,H,1150504,306016,1456520,06/10/2019,2018
Lawyers & Lobbyists,K,1721904,88500,1810404,06/10/2019,2018
Transportation,M,71864,103000,174864,06/10/2019,2018
Misc Business,N,1219201,192900,1412101,06/10/2019,2018
Labor,P,24864,311505,336369,06/10/2019,2018
Ideology/Single-Issue,Q,3693192,685472,4378664,06/10/2019,2018
Other,W,6620132,13250,6633382,06/10/2019,2018
