sector_name,sectorid,indivs,pacs,total,last_updated,cycle
Agribusiness,A,111404,25227,136631,06/10/2019,2018
Communic/Electronics,B,58400,6500,64900,06/10/2019,2018
Construction,C,85250,7500,92750,06/10/2019,2018
Energy/Nat Resource,E,11100,24000,35100,06/10/2019,2018
Finance/Insur/RealEst,F,139550,30000,169550,06/10/2019,2018
Health,H,51025,10500,61525,06/10/2019,2018
Lawyers & Lobbyists,K,39350,1000,40350,06/10/2019,2018
Transportation,M,60300,8700,69000,06/10/2019,2018
Misc Business,N,171930,26500,198430,06/10/2019,2018
Labor,P,0,2500,2500,06/10/2019,2018
Ideology/Single-Issue,Q,17660,236108,253768,06/10/2019,2018
Other,W,192538,1500,194038,06/10/2019,2018
