sector_name,sectorid,indivs,pacs,total,last_updated,cycle
Agribusiness,A,34860,70500,105360,06/10/2019,2018
Communic/Electronics,B,8650,15000,23650,06/10/2019,2018
Construction,C,76800,57500,134300,06/10/2019,2018
Defense,D,19300,125200,144500,06/10/2019,2018
Energy/Nat Resource,E,38650,76750,115400,06/10/2019,2018
Finance/Insur/RealEst,F,121607,86750,208357,06/10/2019,2018
Health,H,23050,12200,35250,06/10/2019,2018
Lawyers & Lobbyists,K,88378,25123,113501,06/10/2019,2018
Transportation,M,28900,57500,86400,06/10/2019,2018
Misc Business,N,153461,91850,245311,06/10/2019,2018
Labor,P,0,9500,9500,06/10/2019,2018
Ideology/Single-Issue,Q,23124,78400,101524,06/10/2019,2018
Other,W,27890,1750,29640,06/10/2019,2018
