sector_name,sectorid,indivs,pacs,total,last_updated,cycle
Agribusiness,A,97482,11000,108482,03/20/2023,2022
Communic/Electronics,B,38165,250,38415,03/20/2023,2022
Construction,C,50786,17500,68286,03/20/2023,2022
Defense,D,7249,0,7249,03/20/2023,2022
Energy/Nat Resource,E,56797,14500,71297,03/20/2023,2022
Finance/Insur/RealEst,F,344425,13000,357425,03/20/2023,2022
Health,H,41770,2500,44270,03/20/2023,2022
Lawyers & Lobbyists,K,51087,0,51087,03/20/2023,2022
Transportation,M,30265,3000,33265,03/20/2023,2022
Misc Business,N,138397,16500,154897,03/20/2023,2022
Ideology/Single-Issue,Q,66516,345924,412440,03/20/2023,2022
Other,W,484177,0,484177,03/20/2023,2022
