sector_name,sectorid,indivs,pacs,total,last_updated,cycle
Agribusiness,A,2,22000,22002,06/10/2019,2018
Communic/Electronics,B,5064,7500,12564,06/10/2019,2018
Construction,C,2450,36000,38450,06/10/2019,2018
Defense,D,0,62500,62500,06/10/2019,2018
Energy/Nat Resource,E,0,73000,73000,06/10/2019,2018
Finance/Insur/RealEst,F,18407,29500,47907,06/10/2019,2018
Health,H,11447,16000,27447,06/10/2019,2018
Lawyers & Lobbyists,K,26164,19250,45414,06/10/2019,2018
Transportation,M,2785,38000,40785,06/10/2019,2018
Misc Business,N,16588,51250,67838,06/10/2019,2018
Labor,P,250,227000,227250,06/10/2019,2018
Ideology/Single-Issue,Q,12950,12626,25576,06/10/2019,2018
Other,W,27732,2500,30232,06/10/2019,2018
