sector_name,sectorid,indivs,pacs,total,last_updated,cycle
Agribusiness,A,146535,156750,303285,03/20/2023,2022
Communic/Electronics,B,22203,51500,73703,03/20/2023,2022
Construction,C,27070,91500,118570,03/20/2023,2022
Defense,D,11600,10500,22100,03/20/2023,2022
Energy/Nat Resource,E,44055,146000,190055,03/20/2023,2022
Finance/Insur/RealEst,F,279056,378000,657056,03/20/2023,2022
Health,H,83801,363800,447601,03/20/2023,2022
Lawyers & Lobbyists,K,159560,32000,191560,03/20/2023,2022
Transportation,M,33650,77500,111150,03/20/2023,2022
Misc Business,N,138522,148000,286522,03/20/2023,2022
Labor,P,0,1000,1000,03/20/2023,2022
Ideology/Single-Issue,Q,65140,83700,148840,03/20/2023,2022
Other,W,112663,1000,113663,03/20/2023,2022
