sector_name,sectorid,indivs,pacs,total,last_updated,cycle
Agribusiness,A,54428,166449,220877,06/10/2019,2018
Communic/Electronics,B,6900,18500,25400,06/10/2019,2018
Construction,C,32350,37750,70100,06/10/2019,2018
Defense,D,0,13500,13500,06/10/2019,2018
Energy/Nat Resource,E,42716,86200,128916,06/10/2019,2018
Finance/Insur/RealEst,F,82275,56750,139025,06/10/2019,2018
Health,H,35130,53000,88130,06/10/2019,2018
Lawyers & Lobbyists,K,41099,13500,54599,06/10/2019,2018
Transportation,M,19450,23000,42450,06/10/2019,2018
Misc Business,N,90771,55613,146384,06/10/2019,2018
Labor,P,0,23500,23500,06/10/2019,2018
Ideology/Single-Issue,Q,17125,60747,77872,06/10/2019,2018
Other,W,71914,10500,82414,06/10/2019,2018
