sector_name,sectorid,indivs,pacs,total,last_updated,cycle
Agribusiness,A,181362,395142,576504,06/10/2019,2018
Communic/Electronics,B,144650,312600,457250,06/10/2019,2018
Construction,C,108487,97700,206187,06/10/2019,2018
Defense,D,33900,105500,139400,06/10/2019,2018
Energy/Nat Resource,E,83905,267850,351755,06/10/2019,2018
Finance/Insur/RealEst,F,449839,431300,881139,06/10/2019,2018
Health,H,121531,166000,287531,06/10/2019,2018
Lawyers & Lobbyists,K,315539,117123,432662,06/10/2019,2018
Transportation,M,261249,328999,590248,06/10/2019,2018
Misc Business,N,264143,263000,527143,06/10/2019,2018
Labor,P,0,93583,93583,06/10/2019,2018
Ideology/Single-Issue,Q,134911,585187,720098,06/10/2019,2018
Other,W,259929,5000,264929,06/10/2019,2018
