sector_name,sectorid,indivs,pacs,total,last_updated,cycle
Agribusiness,A,116125,158500,274625,06/10/2019,2018
Communic/Electronics,B,0,23500,23500,06/10/2019,2018
Construction,C,16800,23000,39800,06/10/2019,2018
Defense,D,0,12000,12000,06/10/2019,2018
Energy/Nat Resource,E,3250,16000,19250,06/10/2019,2018
Finance/Insur/RealEst,F,56850,35500,92350,06/10/2019,2018
Health,H,50775,13500,64275,06/10/2019,2018
Lawyers & Lobbyists,K,16500,4500,21000,06/10/2019,2018
Transportation,M,10550,94000,104550,06/10/2019,2018
Misc Business,N,30000,53500,83500,06/10/2019,2018
Labor,P,0,1000,1000,06/10/2019,2018
Ideology/Single-Issue,Q,4200,53967,58167,06/10/2019,2018
Other,W,31680,0,31680,06/10/2019,2018
