sector_name,sectorid,indivs,pacs,total,last_updated,cycle
Agribusiness,A,976,31000,31976,06/10/2019,2018
Communic/Electronics,B,12171,12250,24421,06/10/2019,2018
Construction,C,2898,8500,11398,06/10/2019,2018
Defense,D,65,6000,6065,06/10/2019,2018
Energy/Nat Resource,E,3982,21500,25482,06/10/2019,2018
Finance/Insur/RealEst,F,18250,133500,151750,06/10/2019,2018
Health,H,22046,80750,102796,06/10/2019,2018
Lawyers & Lobbyists,K,35990,15750,51740,06/10/2019,2018
Transportation,M,2307,27000,29307,06/10/2019,2018
Misc Business,N,30076,41500,71576,06/10/2019,2018
Labor,P,5588,262000,267588,06/10/2019,2018
Ideology/Single-Issue,Q,17819,27250,45069,06/10/2019,2018
Other,W,102424,500,102924,06/10/2019,2018
