sector_name,sectorid,indivs,pacs,total,last_updated,cycle
Agribusiness,A,14775,31250,46025,06/10/2019,2018
Communic/Electronics,B,9400,27120,36520,06/10/2019,2018
Construction,C,21400,27000,48400,06/10/2019,2018
Defense,D,50459,223400,273859,06/10/2019,2018
Energy/Nat Resource,E,2115,60000,62115,06/10/2019,2018
Finance/Insur/RealEst,F,84516,55500,140016,06/10/2019,2018
Health,H,22950,58500,81450,06/10/2019,2018
Lawyers & Lobbyists,K,42602,20000,62602,06/10/2019,2018
Transportation,M,35250,70995,106245,06/10/2019,2018
Misc Business,N,46400,51500,97900,06/10/2019,2018
Labor,P,0,60000,60000,06/10/2019,2018
Ideology/Single-Issue,Q,1450,46029,47479,06/10/2019,2018
Other,W,148533,1000,149533,06/10/2019,2018
