sector_name,sectorid,indivs,pacs,total,last_updated,cycle
Agribusiness,A,5768,18886,24654,06/10/2019,2018
Communic/Electronics,B,9136,43300,52436,06/10/2019,2018
Construction,C,8543,8000,16543,06/10/2019,2018
Defense,D,257,38000,38257,06/10/2019,2018
Energy/Nat Resource,E,3734,13000,16734,06/10/2019,2018
Finance/Insur/RealEst,F,49104,80000,129104,06/10/2019,2018
Health,H,40484,48200,88684,06/10/2019,2018
Lawyers & Lobbyists,K,59458,22000,81458,06/10/2019,2018
Transportation,M,1093,38500,39593,06/10/2019,2018
Misc Business,N,11496,65000,76496,06/10/2019,2018
Labor,P,250,137500,137750,06/10/2019,2018
Ideology/Single-Issue,Q,23313,23025,46338,06/10/2019,2018
Other,W,52676,0,52676,06/10/2019,2018
