industry_code,industry_name,indivs,pacs,total,last_updated,cycle
K01,Lawyers/Law Firms,93725,16500,110225,03/20/2023,2022
F10,Real Estate,99259,7500,106759,03/20/2023,2022
K02,Lobbyists,87950,0,87950,03/20/2023,2022
W06,Retired,50950,0,50950,03/20/2023,2022
Q03,Leadership PACs,0,47500,47500,03/20/2023,2022
Q05,Pro-Israel,26800,16000,42800,03/20/2023,2022
C04,Construction Services,33400,1500,34900,03/20/2023,2022
C02,Home Builders,30000,0,30000,03/20/2023,2022
A01,Crop Production & Basic Processing,16600,10000,26600,03/20/2023,2022
F09,Insurance,15850,10000,25850,03/20/2023,2022
