industry_code,industry_name,indivs,pacs,total,last_updated,cycle
W06,Retired,499163,0,499163,03/20/2023,2022
K01,Lawyers/Law Firms,383061,37231,420292,03/20/2023,2022
F07,Securities & Investment,283667,24500,308167,03/20/2023,2022
F10,Real Estate,192140,38500,230640,03/20/2023,2022
Q02,Democratic/Liberal,224588,600,225188,03/20/2023,2022
Q03,Leadership PACs,4000,196000,200000,03/20/2023,2022
H01,Health Professionals,121442,49000,170442,03/20/2023,2022
F09,Insurance,48006,92700,140706,03/20/2023,2022
Q05,Pro-Israel,117060,8500,125560,03/20/2023,2022
K02,Lobbyists,93005,500,93505,03/20/2023,2022
