industry_code,industry_name,indivs,pacs,total,last_updated,cycle
E01,Oil & Gas,290729,212000,502729,03/20/2023,2022
W06,Retired,491066,0,491066,03/20/2023,2022
Q03,Leadership PACs,0,432699,432699,03/20/2023,2022
F07,Securities & Investment,279584,99500,379084,03/20/2023,2022
Q05,Pro-Israel,241660,12700,254360,03/20/2023,2022
H01,Health Professionals,150575,102000,252575,03/20/2023,2022
F10,Real Estate,153109,71500,224609,03/20/2023,2022
K02,Lobbyists,208609,3000,211609,03/20/2023,2022
F03,Commercial Banks,136655,66800,203455,03/20/2023,2022
F09,Insurance,65536,133400,198936,03/20/2023,2022
