industry_code,industry_name,indivs,pacs,total,last_updated,cycle
Q03,Leadership PACs,0,102954,102954,03/20/2023,2022
F10,Real Estate,55800,16000,71800,03/20/2023,2022
W06,Retired,47150,0,47150,03/20/2023,2022
F07,Securities & Investment,45975,0,45975,03/20/2023,2022
K01,Lawyers/Law Firms,25800,200,26000,03/20/2023,2022
A01,Crop Production & Basic Processing,2500,21500,24000,03/20/2023,2022
Q01,Republican/Conservative,21242,2000,23242,03/20/2023,2022
H01,Health Professionals,18477,4500,22977,03/20/2023,2022
E01,Oil & Gas,5800,16900,22700,03/20/2023,2022
C01,General Contractors,17300,2500,19800,03/20/2023,2022
