industry_code,industry_name,indivs,pacs,total,last_updated,cycle
W06,Retired,1721150,0,1721150,03/20/2023,2022
K01,Lawyers/Law Firms,1151812,65873,1217685,03/20/2023,2022
F07,Securities & Investment,782333,33500,815833,03/20/2023,2022
Q08,Women's Issues,512975,18108,531083,03/20/2023,2022
Q02,Democratic/Liberal,450872,5000,455872,03/20/2023,2022
B02,TV/Movies/Music,385063,32450,417513,03/20/2023,2022
F10,Real Estate,395564,20000,415564,03/20/2023,2022
W04,Education,409898,0,409898,03/20/2023,2022
Q03,Leadership PACs,0,384900,384900,03/20/2023,2022
H01,Health Professionals,241938,46500,288438,03/20/2023,2022
