industry_code,industry_name,indivs,pacs,total,last_updated,cycle
W06,Retired,358414,0,358414,03/20/2023,2022
Q01,Republican/Conservative,180989,12000,192989,03/20/2023,2022
F07,Securities & Investment,170794,0,170794,03/20/2023,2022
F10,Real Estate,149246,6000,155246,03/20/2023,2022
E01,Oil & Gas,79293,18000,97293,03/20/2023,2022
Q03,Leadership PACs,0,77300,77300,03/20/2023,2022
A01,Crop Production & Basic Processing,40560,18500,59060,03/20/2023,2022
A06,Livestock,56815,0,56815,03/20/2023,2022
M02,Automotive,41050,10000,51050,03/20/2023,2022
C01,General Contractors,36925,5000,41925,03/20/2023,2022
