industry_code,industry_name,indivs,pacs,total,last_updated,cycle
W06,Retired,401220,0,401220,03/20/2023,2022
F07,Securities & Investment,218756,0,218756,03/20/2023,2022
W04,Education,150293,0,150293,03/20/2023,2022
Q03,Leadership PACs,12500,128753,141253,03/20/2023,2022
K01,Lawyers/Law Firms,126321,5000,131321,03/20/2023,2022
Q02,Democratic/Liberal,75350,42097,117447,03/20/2023,2022
F10,Real Estate,79659,1300,80959,03/20/2023,2022
H01,Health Professionals,73285,0,73285,03/20/2023,2022
W03,Civil Servants/Public Officials,63754,0,63754,03/20/2023,2022
Q05,Pro-Israel,51321,8581,59902,03/20/2023,2022
